location,age_group,gender,education_level,question_number,question_text,response
Quebec,76-85,Female,,Q8,Political protests are disruptive and should be limited.,Strongly agree
Quebec,76-85,Female,,Q9,There should be restrictions on religious symbols in public life.,Strongly disagree
Quebec,76-85,Female,,Q10,The government should leave it entirely to the private sector to create jobs.,Strongly agree
Quebec,76-85,Female,,Q11,Newer lifestyles are contributing to the breakdown of our society.,Strongly agree
Quebec,76-85,Female,,Q12,People like me don't have any say about what the government does.,Strongly disagree
Quebec,76-85,Female,,Q13,My ethnicity is an important part of my identity.,Strongly agree
Quebec,76-85,Female,,Q14,Immigrants take jobs away from other Canadians.,Strongly agree
Quebec,76-85,Female,,Q15,The best way to protect women's interests is to have more women in Parliament.,Strongly agree
Quebec,76-85,Male,,Q1,Do you consider yourself to be a strong feminist  not a very strong feminist  or not a feminist at all?,Not a feminist at all
Quebec,76-85,Male,,Q2,People should be able to say what they think even if it offends some people.,Strongly agree
Quebec,76-85,Male,,Q3,Society would be better off if fewer women worked outside the home.,Strongly agree
Quebec,76-85,Male,,Q4,Do you think Canada should admit more immigrants  less immigrants  or about the same number of immigrants as now?,More immigrants
Quebec,76-85,Male,,Q5,Politicians are willing to lie to get elected.,Strongly agree
Quebec,76-85,Male,,Q6,I’d rather put my trust in the wisdom of ordinary people than the opinions of experts and intellectuals.,Strongly agree
Quebec,76-85,Male,,Q7,Elections make no difference to what happens in this country.,Strongly agree
Quebec,76-85,Male,,Q8,Political protests are disruptive and should be limited.,Strongly agree
Quebec,76-85,Male,,Q9,There should be restrictions on religious symbols in public life.,Strongly agree
Quebec,76-85,Male,,Q10,The government should leave it entirely to the private sector to create jobs.,Strongly agree
Quebec,76-85,Male,,Q11,Newer lifestyles are contributing to the breakdown of our society.,Strongly agree
Quebec,76-85,Male,,Q12,People like me don't have any say about what the government does.,Strongly agree
Quebec,76-85,Male,,Q13,My ethnicity is an important part of my identity.,Strongly agree
Quebec,76-85,Male,,Q14,Immigrants take jobs away from other Canadians.,Strongly agree
Quebec,76-85,Male,,Q15,The best way to protect women's interests is to have more women in Parliament.,Strongly agree
Quebec,76-85,Non-binary,,Q1,Do you consider yourself to be a strong feminist  not a very strong feminist  or not a feminist at all?,Not a feminist at all
Quebec,76-85,Non-binary,,Q2,People should be able to say what they think even if it offends some people.,Strongly agree
Quebec,76-85,Non-binary,,Q3,Society would be better off if fewer women worked outside the home.,Strongly disagree
Quebec,76-85,Non-binary,,Q4,Do you think Canada should admit more immigrants  less immigrants  or about the same number of immigrants as now?,More immigrants
Quebec,76-85,Non-binary,,Q5,Politicians are willing to lie to get elected.,Strongly agree
Quebec,76-85,Non-binary,,Q6,I’d rather put my trust in the wisdom of ordinary people than the opinions of experts and intellectuals.,Strongly disagree
Quebec,76-85,Non-binary,,Q7,Elections make no difference to what happens in this country.,Strongly agree
Quebec,76-85,Non-binary,,Q8,Political protests are disruptive and should be limited.,Strongly agree
Quebec,76-85,Non-binary,,Q9,There should be restrictions on religious symbols in public life.,Strongly disagree
Quebec,76-85,Non-binary,,Q10,The government should leave it entirely to the private sector to create jobs.,Strongly disagree
Quebec,76-85,Non-binary,,Q11,Newer lifestyles are contributing to the breakdown of our society.,Strongly agree
Quebec,76-85,Non-binary,,Q12,People like me don't have any say about what the government does.,Strongly disagree
Quebec,76-85,Non-binary,,Q13,My ethnicity is an important part of my identity.,Strongly agree
Quebec,76-85,Non-binary,,Q14,Immigrants take jobs away from other Canadians.,Strongly agree
Quebec,76-85,Non-binary,,Q15,The best way to protect women's interests is to have more women in Parliament.,Strongly agree
Quebec,86-95,Female,,Q1,Do you consider yourself to be a strong feminist  not a very strong feminist  or not a feminist at all?,Not a feminist at all
Quebec,86-95,Male,,Q1,Do you consider yourself to be a strong feminist  not a very strong feminist  or not a feminist at all?,Not a feminist at all
Quebec,86-95,Male,,Q2,People should be able to say what they think even if it offends some people.,Strongly agree
Quebec,86-95,Male,,Q3,Society would be better off if fewer women worked outside the home.,Strongly agree
Quebec,86-95,Male,,Q4,Do you think Canada should admit more immigrants  less immigrants  or about the same number of immigrants as now?,More immigrants
Quebec,86-95,Male,,Q5,Politicians are willing to lie to get elected.,Strongly agree
Quebec,86-95,Male,,Q6,I’d rather put my trust in the wisdom of ordinary people than the opinions of experts and intellectuals.,Strongly agree
Quebec,86-95,Male,,Q7,Elections make no difference to what happens in this country.,Strongly agree
Quebec,86-95,Male,,Q8,Political protests are disruptive and should be limited.,Strongly agree
Quebec,86-95,Male,,Q9,There should be restrictions on religious symbols in public life.,Strongly agree
Quebec,86-95,Male,,Q10,The government should leave it entirely to the private sector to create jobs.,Strongly agree
Quebec,86-95,Male,,Q11,Newer lifestyles are contributing to the breakdown of our society.,Strongly agree
Quebec,86-95,Male,,Q12,People like me don't have any say about what the government does.,Strongly agree
Quebec,86-95,Male,,Q13,My ethnicity is an important part of my identity.,Strongly agree
Quebec,86-95,Male,,Q14,Immigrants take jobs away from other Canadians.,Strongly agree
Quebec,86-95,Male,,Q15,The best way to protect women's interests is to have more women in Parliament.,Strongly agree
Quebec,86-95,Non-binary,,Q1,Do you consider yourself to be a strong feminist  not a very strong feminist  or not a feminist at all?,A strong feminist
Quebec,86-95,Non-binary,,Q2,People should be able to say what they think even if it offends some people.,Strongly agree
Quebec,86-95,Non-binary,,Q3,Society would be better off if fewer women worked outside the home.,Strongly disagree
Quebec,86-95,Non-binary,,Q4,Do you think Canada should admit more immigrants  less immigrants  or about the same number of immigrants as now?,More immigrants
Quebec,86-95,Non-binary,,Q5,Politicians are willing to lie to get elected.,Strongly agree
Quebec,86-95,Non-binary,,Q6,I’d rather put my trust in the wisdom of ordinary people than the opinions of experts and intellectuals.,Strongly agree
Quebec,86-95,Non-binary,,Q7,Elections make no difference to what happens in this country.,Strongly disagree
Quebec,86-95,Non-binary,,Q8,Political protests are disruptive and should be limited.,Strongly disagree
Quebec,86-95,Non-binary,,Q9,There should be restrictions on religious symbols in public life.,Strongly disagree
Quebec,86-95,Non-binary,,Q10,The government should leave it entirely to the private sector to create jobs.,Strongly disagree
Quebec,86-95,Non-binary,,Q11,Newer lifestyles are contributing to the breakdown of our society.,Strongly agree
Quebec,86-95,Non-binary,,Q12,People like me don't have any say about what the government does.,Strongly disagree
Quebec,86-95,Non-binary,,Q13,My ethnicity is an important part of my identity.,Strongly agree
Quebec,86-95,Non-binary,,Q14,Immigrants take jobs away from other Canadians.,Strongly disagree
Quebec,86-95,Non-binary,,Q15,The best way to protect women's interests is to have more women in Parliament.,Strongly agree
